0	--	--	0.1	--	--	0.2	--	--	0.3	--	--	0.4	--	--	0.5	--	--	Slicl	--	--
2.29E-6	1.00039	0.99883	2.29E-6	1.0004	0.9988	2.29E-6	1.00042	0.99875	2.29E-6	1.00044	0.99867	2.29E-6	1.00049	0.99854	2.29E-6	1.00057	0.99829	2.29E-6	1.00038	0.99887	
2.44E-6	1.0004	0.9988	2.44E-6	1.00041	0.99877	2.44E-6	1.00043	0.99871	2.44E-6	1.00046	0.99863	2.44E-6	1.0005	0.99849	2.44E-6	1.00059	0.99824	2.44E-6	1.00039	0.99884	
2.6E-6	1.00041	0.99876	2.6E-6	1.00043	0.99873	2.6E-6	1.00044	0.99867	2.6E-6	1.00047	0.99859	2.6E-6	1.00052	0.99844	2.6E-6	1.00061	0.99818	2.6E-6	1.0004	0.9988	
2.78E-6	1.00043	0.99872	2.78E-6	1.00044	0.99868	2.78E-6	1.00046	0.99863	2.78E-6	1.00049	0.99854	2.77E-6	1.00054	0.99839	2.77E-6	1.00063	0.99812	2.78E-6	1.00041	0.99876	
2.97E-6	1.00044	0.99867	2.97E-6	1.00045	0.99864	2.97E-6	1.00047	0.99858	2.97E-6	1.0005	0.99849	2.97E-6	1.00056	0.99833	2.97E-6	1.00065	0.99806	2.97E-6	1.00043	0.99872	
3.19E-6	1.00046	0.99862	3.19E-6	1.00047	0.99859	3.19E-6	1.00049	0.99853	3.19E-6	1.00052	0.99844	3.19E-6	1.00058	0.99827	3.18E-6	1.00067	0.99799	3.19E-6	1.00044	0.99867	
3.43E-6	1.00048	0.99857	3.43E-6	1.00049	0.99854	3.43E-6	1.00051	0.99848	3.43E-6	1.00054	0.99838	3.43E-6	1.0006	0.99821	3.42E-6	1.0007	0.99791	3.43E-6	1.00046	0.99862	
3.69E-6	1.00049	0.99852	3.69E-6	1.00051	0.99848	3.69E-6	1.00053	0.99842	3.69E-6	1.00056	0.99831	3.69E-6	1.00062	0.99814	3.69E-6	1.00072	0.99783	3.69E-6	1.00048	0.99857	
4E-6	1.00051	0.99846	4E-6	1.00053	0.99842	4E-6	1.00055	0.99835	4E-6	1.00058	0.99825	3.99E-6	1.00065	0.99807	3.99E-6	1.00075	0.99775	4E-6	1.0005	0.99851	
4.34E-6	1.00054	0.99839	4.34E-6	1.00055	0.99835	4.34E-6	1.00057	0.99829	4.33E-6	1.00061	0.99817	4.33E-6	1.00067	0.99799	4.33E-6	1.00078	0.99765	4.34E-6	1.00052	0.99845	
4.72E-6	1.00056	0.99832	4.72E-6	1.00057	0.99828	4.72E-6	1.0006	0.99821	4.72E-6	1.00064	0.9981	4.72E-6	1.0007	0.9979	4.72E-6	1.00082	0.99755	4.72E-6	1.00054	0.99838	
5.16E-6	1.00058	0.99825	5.16E-6	1.0006	0.9982	5.16E-6	1.00062	0.99813	5.16E-6	1.00066	0.99801	5.16E-6	1.00073	0.9978	5.16E-6	1.00085	0.99744	5.16E-6	1.00056	0.99831	
5.66E-6	1.00061	0.99816	5.66E-6	1.00063	0.99812	5.66E-6	1.00065	0.99804	5.66E-6	1.0007	0.99791	5.66E-6	1.00077	0.9977	5.66E-6	1.0009	0.99732	5.66E-6	1.00059	0.99823	
6.24E-6	1.00064	0.99807	6.24E-6	1.00066	0.99802	6.24E-6	1.00069	0.99794	6.24E-6	1.00073	0.99781	6.24E-6	1.00081	0.99758	6.24E-6	1.00094	0.99718	6.24E-6	1.00062	0.99814	
6.92E-6	1.00068	0.99797	6.92E-6	1.00069	0.99792	6.92E-6	1.00072	0.99784	6.91E-6	1.00077	0.99769	6.91E-6	1.00085	0.99746	6.91E-6	1.00099	0.99704	6.92E-6	1.00065	0.99804	
7.71E-6	1.00071	0.99786	7.7E-6	1.00073	0.99781	7.7E-6	1.00076	0.99772	7.7E-6	1.00081	0.99757	7.7E-6	1.0009	0.99732	7.7E-6	1.00105	0.99687	7.71E-6	1.00069	0.99794	
8.64E-6	1.00076	0.99773	8.64E-6	1.00078	0.99768	8.64E-6	1.00081	0.99758	8.64E-6	1.00086	0.99742	8.63E-6	1.00095	0.99716	8.63E-6	1.00111	0.99669	8.64E-6	1.00073	0.99781	
9.75E-6	1.0008	0.99759	9.75E-6	1.00082	0.99753	9.75E-6	1.00086	0.99743	9.75E-6	1.00091	0.99726	9.75E-6	1.00101	0.99698	9.74E-6	1.00118	0.99648	9.75E-6	1.00078	0.99768	
1.11E-5	1.00086	0.99743	1.11E-5	1.00088	0.99737	1.11E-5	1.00092	0.99726	1.11E-5	1.00098	0.99708	1.11E-5	1.00108	0.99678	1.11E-5	1.00125	0.99625	1.11E-5	1.00083	0.99752	
1.27E-5	1.00092	0.99725	1.27E-5	1.00094	0.99718	1.27E-5	1.00098	0.99706	1.27E-5	1.00105	0.99687	1.27E-5	1.00115	0.99655	1.27E-5	1.00134	0.99598	1.27E-5	1.00089	0.99735	
1.48E-5	1.00099	0.99704	1.48E-5	1.00101	0.99696	1.48E-5	1.00106	0.99684	1.48E-5	1.00113	0.99663	1.48E-5	1.00124	0.99628	1.48E-5	1.00145	0.99567	1.48E-5	1.00095	0.99714	
1.73E-5	1.00107	0.99679	1.73E-5	1.0011	0.99671	1.73E-5	1.00114	0.99657	1.73E-5	1.00122	0.99635	1.73E-5	1.00135	0.99597	1.73E-5	1.00157	0.99531	1.73E-5	1.00103	0.9969	
2.06E-5	1.00117	0.9965	2.06E-5	1.0012	0.99641	2.06E-5	1.00125	0.99626	2.06E-5	1.00133	0.99602	2.06E-5	1.00147	0.99561	2.06E-5	1.00171	0.99488	2.06E-5	1.00113	0.99662	
2.49E-5	1.00129	0.99615	2.49E-5	1.00132	0.99605	2.49E-5	1.00137	0.99589	2.49E-5	1.00146	0.99562	2.49E-5	1.00162	0.99517	2.49E-5	1.00188	0.99437	2.49E-5	1.00124	0.99629	
3.08E-5	1.00143	0.99572	3.08E-5	1.00147	0.99561	3.08E-5	1.00153	0.99543	3.08E-5	1.00163	0.99513	3.08E-5	1.0018	0.99463	3.07E-5	1.00209	0.99375	3.08E-5	1.00138	0.99587	
3.89E-5	1.00161	0.99519	3.89E-5	1.00165	0.99506	3.89E-5	1.00172	0.99486	3.89E-5	1.00183	0.99453	3.89E-5	1.00202	0.99396	3.89E-5	1.00236	0.99296	3.89E-5	1.00155	0.99536	
